PCM_type_Wall,Thickness_Wall,Melting_Point_Wall,PCM_type_Roof,Thickness_Roof,Melting_Point_Roof,Roof_PCM_Position,wall_PCM_Position,IDD,EUI,TL,city,pareto,TL_phase
1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,5.084356,47.718,1.0,Ardebial,False,1.0
1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,5.076017,47.569,0.0,Ardebial,False,0.0
1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,5.09497,47.768,1.0,Ardebial,False,1.0
0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,5.090735,47.768,1.0,Ardebial,False,1.0
0.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,5.100758,47.222,1.0,Ardebial,False,1.0
1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,4.919376,46.429,0.0,Ardebial,False,0.0
0.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,5.015395,46.429,0.0,Ardebial,False,0.0
1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,5.08328,47.669,1.0,Ardebial,False,1.0
1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,5.066909,46.528,1.0,Ardebial,False,1.0
1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.054155,47.272,0.0,Ardebial,False,0.0
0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,5.084524,47.123,0.0,Ardebial,False,0.0
1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,5.009467,46.875,0.0,Ardebial,False,0.0
0.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,5.050142,47.123,1.0,Ardebial,False,1.0
0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,4.967999,46.627,0.0,Ardebial,False,0.0
1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.045634,47.073,0.0,Ardebial,False,0.0
1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,5.099813,47.52,1.0,Ardebial,False,1.0
1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.979881,46.825,0.0,Ardebial,False,0.0
1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.054155,47.272,0.0,Ardebial,False,0.0
0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,5.042152,47.173,1.0,Ardebial,False,1.0
0.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,5.072433,47.52,0.0,Ardebial,False,0.0
0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,5.082049,47.52,1.0,Ardebial,False,1.0
0.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,4.950538,46.429,0.0,Ardebial,False,0.0
1.0,2.0,1.0,0.0,2.0,3.0,1.0,1.0,5.017649,46.974,0.0,Ardebial,False,0.0
1.0,0.0,1.0,1.0,3.0,4.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
1.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,5.03315,47.123,0.0,Ardebial,False,0.0
1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,5.008374,46.875,0.0,Ardebial,False,0.0
0.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,5.033645,46.974,0.0,Ardebial,False,0.0
1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,4.97248,46.28,1.0,Ardebial,False,1.0
0.0,0.0,3.0,1.0,3.0,2.0,0.0,2.0,5.119457,47.321,1.0,Ardebial,False,1.0
0.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,5.034684,47.024,0.0,Ardebial,False,0.0
0.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
0.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,5.134154,47.371,1.0,Ardebial,False,1.0
1.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,5.057382,47.272,0.0,Ardebial,False,0.0
0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,5.121457,47.768,1.0,Ardebial,False,1.0
1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,5.055929,47.272,0.0,Ardebial,False,0.0
1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,5.09986,47.917,1.0,Ardebial,False,1.0
0.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,5.082049,47.52,1.0,Ardebial,False,1.0
0.0,3.0,3.0,0.0,1.0,3.0,1.0,1.0,5.072433,47.52,0.0,Ardebial,False,0.0
0.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,5.071764,47.421,1.0,Ardebial,False,1.0
1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,5.057382,47.272,0.0,Ardebial,False,0.0
0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,5.082049,47.52,1.0,Ardebial,False,1.0
1.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,5.016142,46.925,0.0,Ardebial,False,0.0
0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,4.964434,46.577,0.0,Ardebial,False,0.0
0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,5.051032,47.222,0.0,Ardebial,False,0.0
0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,5.02664,47.123,1.0,Ardebial,False,1.0
1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,5.088658,47.669,1.0,Ardebial,False,1.0
1.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,5.061915,46.974,0.0,Ardebial,False,0.0
0.0,1.0,4.0,1.0,1.0,2.0,0.0,1.0,5.094116,47.47,0.0,Ardebial,False,0.0
1.0,0.0,4.0,0.0,2.0,2.0,1.0,2.0,5.065658,47.47,1.0,Ardebial,False,1.0
1.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,5.054168,47.272,0.0,Ardebial,False,0.0
0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,5.131176,47.569,1.0,Ardebial,True,1.0
1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.008374,46.875,0.0,Ardebial,False,0.0
0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,5.077274,47.371,1.0,Ardebial,False,1.0
1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,4.858312,45.685,0.0,Ardebial,False,0.0
0.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,5.066996,47.222,1.0,Ardebial,False,1.0
0.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,4.964434,46.577,0.0,Ardebial,False,0.0
0.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,5.049631,47.222,0.0,Ardebial,False,0.0
0.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,5.070177,47.47,0.0,Ardebial,False,0.0
1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,5.045634,47.073,0.0,Ardebial,False,0.0
1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,5.099154,47.917,1.0,Ardebial,False,1.0
1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.009467,46.875,0.0,Ardebial,False,0.0
1.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,5.055294,47.272,1.0,Ardebial,False,1.0
0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,5.138788,47.52,1.0,Ardebial,True,1.0
0.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,5.041746,47.173,0.0,Ardebial,False,0.0
0.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,5.072433,47.52,0.0,Ardebial,False,0.0
0.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,5.034575,46.974,1.0,Ardebial,False,1.0
1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,5.017649,46.974,0.0,Ardebial,False,0.0
0.0,2.0,3.0,0.0,0.0,3.0,0.0,2.0,5.078732,46.974,0.0,Ardebial,False,0.0
0.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,5.082049,47.52,1.0,Ardebial,False,1.0
0.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,5.067153,47.123,0.0,Ardebial,False,0.0
0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,5.040687,47.024,0.0,Ardebial,False,0.0
1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,5.067514,47.52,1.0,Ardebial,False,1.0
0.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,5.034684,47.024,0.0,Ardebial,False,0.0
0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,5.131176,47.569,1.0,Ardebial,True,1.0
0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.110061,47.768,1.0,Ardebial,False,1.0
1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,5.061915,46.974,0.0,Ardebial,False,0.0
0.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,4.943872,46.379,0.0,Ardebial,False,0.0
0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.957707,46.528,0.0,Ardebial,False,0.0
0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,5.098317,47.768,1.0,Ardebial,False,1.0
1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,5.055943,47.272,0.0,Ardebial,False,0.0
0.0,1.0,4.0,0.0,2.0,2.0,1.0,2.0,5.033645,46.974,0.0,Ardebial,False,0.0
0.0,3.0,3.0,1.0,2.0,4.0,0.0,1.0,4.990774,46.429,0.0,Ardebial,False,0.0
0.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,5.036313,47.024,1.0,Ardebial,False,1.0
1.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,5.084356,47.718,1.0,Ardebial,False,1.0
0.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,5.084524,47.123,0.0,Ardebial,False,0.0
1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,5.014062,46.825,0.0,Ardebial,False,0.0
1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,5.084539,47.421,0.0,Ardebial,False,0.0
1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,5.007505,46.875,0.0,Ardebial,False,0.0
0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,5.034684,47.024,0.0,Ardebial,False,0.0
0.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,5.077584,47.569,1.0,Ardebial,False,1.0
1.0,2.0,4.0,0.0,1.0,2.0,0.0,1.0,5.048566,47.123,0.0,Ardebial,False,0.0
0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,5.068088,47.321,1.0,Ardebial,False,1.0
0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,5.050365,47.222,0.0,Ardebial,False,0.0
0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,5.051312,47.222,0.0,Ardebial,False,0.0
0.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,5.036634,47.073,0.0,Ardebial,False,0.0
1.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,5.094872,47.768,1.0,Ardebial,False,1.0
0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.067263,47.47,0.0,Ardebial,False,0.0
1.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0,5.058823,46.925,0.0,Ardebial,False,0.0
1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,5.099154,47.917,1.0,Ardebial,False,1.0
1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,5.066344,46.974,1.0,Ardebial,False,1.0
0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,5.034684,47.024,0.0,Ardebial,False,0.0
1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,5.084356,47.718,1.0,Ardebial,False,1.0
1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,4.951897,45.833,0.0,Ardebial,False,0.0
1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.095377,47.718,1.0,Ardebial,False,1.0
0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,5.001711,46.825,0.0,Ardebial,False,0.0
1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,5.054168,47.272,0.0,Ardebial,False,0.0
0.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,5.011942,46.528,1.0,Ardebial,False,1.0
0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,5.077274,47.371,1.0,Ardebial,False,1.0
1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,5.008374,46.875,0.0,Ardebial,False,0.0
1.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,4.858312,45.685,0.0,Ardebial,False,0.0
1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,5.095126,47.768,1.0,Ardebial,False,1.0
0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,5.114982,47.569,0.0,Ardebial,False,0.0
1.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,5.067514,47.52,1.0,Ardebial,False,1.0
1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,5.007505,46.875,0.0,Ardebial,False,0.0
1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,4.853528,45.585,0.0,Ardebial,False,0.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.094664,47.718,1.0,Ardebial,False,1.0
